epoch,lr,train_loss,val_loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,0.0001,0.5759280423323313,0.5113635137677193,1720120160,checkpoint_000000,True,False,1,86730_00000,2024-07-04_13-09-22,165.73409605026245,165.73409605026245,28542,Samans-MacBook-Pro.local,127.0.0.1,165.73409605026245,1
1,0.0001,0.5105180144309998,0.4608563706278801,1720120321,checkpoint_000001,True,False,2,86730_00000,2024-07-04_13-12-03,160.87920308113098,326.61329913139343,28542,Samans-MacBook-Pro.local,127.0.0.1,326.61329913139343,2
2,0.0001,0.44055264194806415,0.34964316338300705,1720120518,checkpoint_000002,True,False,3,86730_00000,2024-07-04_13-15-20,195.84988498687744,522.4631841182709,28542,Samans-MacBook-Pro.local,127.0.0.1,522.4631841182709,3
3,0.0001,0.32874452074368793,0.2973584085702896,1720120692,checkpoint_000003,True,False,4,86730_00000,2024-07-04_13-18-14,174.41792106628418,696.881105184555,28542,Samans-MacBook-Pro.local,127.0.0.1,696.881105184555,4
