epoch,lr,train_loss,val_loss,timestamp,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name
0,0.0001,0.5724816819032034,0.4973464459180832,1720114720,True,False,1,f9643_00000,2024-07-04_11-38-41,116.33049130439758,116.33049130439758,69063,Samans-MacBook-Pro.local,127.0.0.1,116.33049130439758,1,checkpoint_000000
1,0.0001,0.4787984788417816,0.4498293548822403,1720114856,True,False,2,f9643_00000,2024-07-04_11-40-56,135.17511010169983,251.5056014060974,69063,Samans-MacBook-Pro.local,127.0.0.1,251.5056014060974,2,checkpoint_000001
2,0.0001,0.4004492958386739,0.35116931796073914,1720115000,True,False,3,f9643_00000,2024-07-04_11-43-22,145.73329997062683,397.23890137672424,69063,Samans-MacBook-Pro.local,127.0.0.1,397.23890137672424,3,checkpoint_000002
3,0.0001,0.29445457458496094,0.2774917967617512,1720115150,True,False,4,f9643_00000,2024-07-04_11-45-50,147.61142492294312,544.8503262996674,69063,Samans-MacBook-Pro.local,127.0.0.1,544.8503262996674,4,checkpoint_000003
4,0.0001,0.21396547555923462,0.2363618202507496,1720115285,True,False,5,f9643_00000,2024-07-04_11-48-05,135.53266191482544,680.3829882144928,69063,Samans-MacBook-Pro.local,127.0.0.1,680.3829882144928,5,checkpoint_000004
5,0.0001,0.14554905146360397,0.2286902703344822,1720115470,True,False,6,f9643_00000,2024-07-04_11-51-12,186.90819692611694,867.2911851406097,69063,Samans-MacBook-Pro.local,127.0.0.1,867.2911851406097,6,checkpoint_000005
6,0.0001,0.09769051025311153,0.18593274615705013,1720115657,True,False,7,f9643_00000,2024-07-04_11-54-17,184.46503829956055,1051.7562234401703,69063,Samans-MacBook-Pro.local,127.0.0.1,1051.7562234401703,7,checkpoint_000006
7,0.0001,0.06756906335552533,0.1786459144204855,1720115797,True,False,8,f9643_00000,2024-07-04_11-56-39,141.392817735672,1193.1490411758423,69063,Samans-MacBook-Pro.local,127.0.0.1,1193.1490411758423,8,checkpoint_000007
