epoch,lr,train_loss,val_loss,timestamp,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name
0,0.0001,0.5743443965911865,0.4947362318634987,1720129193,True,False,1,8b602_00000,2024-07-04_15-39-54,169.24459791183472,169.24459791183472,95119,samans-mbp.ucalgary.ca,127.0.0.1,169.24459791183472,1,checkpoint_000000
1,0.0001,0.48289620876312256,0.45945827662944794,1720129356,True,False,2,8b602_00000,2024-07-04_15-42-36,161.82813692092896,331.0727348327637,95119,samans-mbp.ucalgary.ca,127.0.0.1,331.0727348327637,2,checkpoint_000001
2,0.0001,0.39494435985883075,0.3349093422293663,1720129518,True,False,3,8b602_00000,2024-07-04_15-45-18,161.98651027679443,493.0592451095581,95119,samans-mbp.ucalgary.ca,127.0.0.1,493.0592451095581,3,checkpoint_000002
3,0.0001,0.2968820134798686,0.2687610425055027,1720129658,True,False,4,8b602_00000,2024-07-04_15-47-40,141.89092683792114,634.9501719474792,95119,samans-mbp.ucalgary.ca,127.0.0.1,634.9501719474792,4,checkpoint_000003
4,0.0001,0.19860768814881644,0.2094917893409729,1720129792,True,False,5,8b602_00000,2024-07-04_15-49-53,132.90089893341064,767.8510708808899,95119,samans-mbp.ucalgary.ca,127.0.0.1,767.8510708808899,5,checkpoint_000004
5,0.0001,0.12365783254305522,0.18366706371307373,1720129912,True,False,6,8b602_00000,2024-07-04_15-51-52,118.3731861114502,886.2242569923401,95119,samans-mbp.ucalgary.ca,127.0.0.1,886.2242569923401,6,checkpoint_000005
6,0.0001,0.08048693959911664,0.16955029964447021,1720130032,True,False,7,8b602_00000,2024-07-04_15-53-54,122.03040599822998,1008.2546629905701,95119,samans-mbp.ucalgary.ca,127.0.0.1,1008.2546629905701,7,checkpoint_000006
7,0.0001,0.056485758473475776,0.15236739069223404,1720130148,True,False,8,8b602_00000,2024-07-04_15-55-51,116.51083421707153,1124.7654972076416,95119,samans-mbp.ucalgary.ca,127.0.0.1,1124.7654972076416,8,checkpoint_000007
